ATSC;ATS Cargo
BEST;Best Transport
BOX;Bring Express
FSD;Bring Frigoscandia
BL;Bring Logistics
BM;Bring Mail
PNL;Bring Parcels AB
BP;Bring Parcels Norge (inrikes)
PNLNO;Bring Parcels Norge (utrikes)
CG;Bussgods
CS;Consignment
DACHSER;Dachser
DFM;Danske Fragtmaend
DANX;DANX
SBTLNO;DB Schenker A/S
PP;DB Schenker Privpak AB
PPNO;DB Schenker Privpak A/S
SBTL;DB Schenker Sverige
DLG;Delego
DHLAIR;DHL Express
ASG;DHL Freight
DGF;DHL Global Forwarding
DPDDK;DPD Danmark
DPDNO;DPD Norge
PLN;DPD UK
DFDS;DSV Road AB
EAN;EAN
POSTEE;Eesti Post
FTLDK;Freja Transport & Logistics A/S
FTLSE;Freja Transport & Logistics AB
GLS;General Logistics Systems
HIT;HIT
POSTI;Itella
JATA;Jata Cargo
JB;Jetpak Borg
JE;June Express
KK;Kaukokiito
KL;Kiitolinja
MH;Matkahuolto
MERTZ;Mertz Transport AB
MTD;Morgontidningarnas tidningsdistribution
FREE;Neutral etikett
ONROAD;OnRoad
OL;Ontime Logistics
PDK;Post Danmark
PNO;Posten Norge
PLAB;Posten Logistik AB
PBREV;Posten Meddelanden
PAX;Posten land
SF;Småfrakt
TM;time:matters
TNT;TNT
DTPG;Tollpost Globe A/S
TG;Transportgruppen
TPRO;Transportproffset
TP;VR Transpoint