Code;Service;RPAY;COD;PERS;RETN;NOTSMS;NOTEMAIL;DNG;CRR (CRQ);ULOAD;CUSTOM;DLVSAT;PUP;NOTLTR;PUPOPT;RETNEXT;EXPRSAT;PORC;DLV;INSU;SPBAG;SPLITSHIP;SPXL;FUNDS;IDCHK;PUPDEP;PRENOT;DLVNOT;PODNOT;PORTOB;PAYED;BARCODE;NOTIMG;NOTIMGIX;NOTPHONE;DLVNOPOD;DLVT;CONTRACT;CONTRACT2;TYRE
P13;Postorderpaket;;l;;;l;;;;;;;;l;l;l;;;;;;;;;;;;;;;;;;;;;;;;
P14;DPD Företagspaket 12.00;l;;;;;;l;l;;;;;;;;;;;;;;;;;;l;l;l;;;;;;;;;;;
P15;DPD Företagspaket 16.00;l;l;;;;;l;l;;;;;;;;;;;;;;;;;;l;l;l;;;;;;;;;;;l
P19;MyPack;;l;;;l;;;;;;;;l;l;;;;l;;;;;;;l;;;;;;;;;;;;;;
P23;Kundretur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P24;MyPack Return;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P25;MyPack Inrikes;;l;;;l;;;;;;;;l;l;l;;;;;;;;;;;l;;;;;;;;;;;;;
P26;Paket utan Kvittens;;;;;;;;;;;;;;;;;;;;;;;;;;l;l;l;;;;;;;;;;;
P27;Postpaket Kontant;;l;;;l;;;;;;;;l;;;;;;;;;;;;;;;;;;;;;;;;;;
P29;Kundretur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P31;DPD Företagspaket 09.00;l;;;;;;l;l;;;;;;;;;;;;;;;;;;l;l;l;;;;;;;;;;;
P32;Hempaket;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P38;Kartong med porto;;;;;l;;;;;;;;l;;;;;;;;;;;;;;;;;;;;;;;;;;
P42;Expresspaket;l;;;;l;;;;;;;;;;;;;l;;;;;;;l;l;;;;;;;;;;;;;
P44;Express - P.EX. Distribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P51;Comeback;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P52;PALL.ETT;l;;;;;;l;l;l;;;;;;;;;;;;;;;;;l;l;l;;;;;;l;l;l;;;
P52S;PALL.ETT Split Shipment;;;;;;;;;;;;;;;;;;;;;l;;;;;;;;;;;;;;;;;;
P53;PALL.ETT Special;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P54;PALL.ETT+;;;;;;;l;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P55;DPD Företagspaket Lokalt;l;;;;;;l;;;;;;;;;;;;;;;;;;;l;l;l;;;;;;;;;;;
P57;DPD Företagspaket Special;l;l;;;;;l;;l;l;;;;;;;;;;;;;;;;l;l;l;;;;;;;;;;;
P59;Retail Delivery;;;;;;;l;;l;;;;;;;;;;;;;;;;;l;l;l;;;;;;;;;;;
P81;Lokal Åkeritjänst - Pall;;;;;;;l;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P82;Lokal Åkeritjänst - Paket;;;;;;;l;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P91;Postpaket Utrikes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DPD;DPD Utrikes;;;;;;;;l;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DPDFI;DPD Utrikes Finland;;;;;;;;l;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAGR;Avtalsbrev*;;l;l;;;;;;;;;;;;;;;;;;;;;;;;;;;;;l;l;;;;l;;
BVALAGR;Avtalsbrev Värde*;;l;l;l;;;;;;;;;;;;;;;;;;;;;;;;;;;;l;l;;;;;l;
PAF;Brevpostförskott*;;l;;l;l;l;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEXPD;Brev - Express (inrikes)*;;;;;;;;;;;;;;;;l;;;;;;;;;;;;;;;;;;;;;;;
BEXPI;Brev - Express (utrikes)*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BREV;Brev - Normal*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;l;l;l;;;;;;;;
BREVNO;Brev Norge - Normal*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BREVFI;Brev Finland - Normal*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BREKD;Brev - Rekommenderat (inrikes)*;;l;l;l;l;l;;;;;;;;;;;l;;;;;;;l;;;;;;;;l;l;;;;;;
BREKI;Brev - Rekommenderat (utrikes)*;;;;;;;;;;;;;;;;;l;;l;;;;;;;;;;;;;;;;;;;;
PAG;Brev - Varubrev Klimatekonomisk*;;;;;l;l;;;;;;;;;;;;;;l;;l;;;;;;;;;;;;;;;;;
PAH;Brev - Varubrev Ekonomi*;;;;;l;l;;;;;;;;;;;;;;l;;l;;;;;;;;;;;;;;;;;
PAE;Brev - Varubrev 1:a klass*;;;;;l;l;;;;;;;;;;;;;;l;;l;;;;;;;;;;;;;;;;;
BVAL;Brev - Värde*;;l;l;l;;;;;;;;;;;;;l;;;;;;l;l;;;;;;;;l;;;;;;;