Code;Service;COD;OPAY;DLVSAT;MPRC;PTYPE;REG;SPTR;SRNAME;RET;PUPOPT;BSPLIT;NOT;CONS;INST;RETPP
IT09;Itella Express Morning 09;;l;l;l;;;l;l;;;;;l;;
IT14;Itella Express Business Day 14;l;l;;l;;;l;l;;;;;l;;
IT14I;Itella Express Business Day 14 parcel (int.);;l;;l;;;;;;;;;l;;
IT16;Economy 16;l;l;;l;;l;l;l;l;l;;l;;;l
IT21;Express Flex 21;l;l;;l;;;l;l;;;;;l;;
ITAP;Asiakaspalautus;;;;l;;;l;;;;;;;;
ITEXPC;Express City 00;;l;;l;;;l;l;;;;;l;;
ITKY14;Business Day 14 kuljetusyksikkö;l;l;;l;;;;l;;;;;l;;
ITKY14I;Itella Express Business Day 14 pallet (int.);;l;;l;;;;;;;;;l;;
ITKY21;Express Flex 21 kuljetusyksikkö;l;l;;l;;;;l;;;;;l;l;
ITKYEXPC;Express City 21 kuljetusyksikkö;;l;;l;l;;;l;;;;;l;;